recommendation,class,level,table_number,table_name,guideline,year,page
"CCTA is recommended as an alternative to ICA to exclude ACS when there is a low-to-intermediate likelihood of CAD and when cardiac troponin and/or ECG are normal or inconclusive.105,108,110",I,A,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,19
Monitoring Continuous rhythm monitoring is recommended until the diagnosis of NSTEMI has been established or ruled out.,I,C,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,19
It is recommended to admit NSTEMI patients to a monitored unit.,I,C,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,19
Rhythm monitoring up to 24 h or to PCI (whichever comes ﬁrst) is recommended in NSTEMI patients at low risk for cardiac arrhythmias.d,I,C,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,19
Rhythm monitoring for >24 h is recommended in NSTEMI patients at increased risk for cardiac arrhythmias.e,I,C,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,19
"In the absence of signs or symptoms of ongoing ischaemia, rhythm monitoring in unstable angina may be considered in selected patients (e.g. suspicion of coronary spasm or associated symptoms suggestive of arrhythmic events).",IIb,C,1,"diagnosis, risk stratiﬁcation, imaging, and rhythm monitoring in patients with suspected non-STsegment elevation acute coronary syndrome",ACS NSTE,2020,19
"Antiplatelet treatment Aspirin is recommended for all patients without contraindications at an initial oral LD of 150300 mg (or 75250 mg i.v.), and at a MD of 75100 mg o.d. for long-term treatment.179",I,A,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
"A P2Y12 receptor inhibitor is recommended in addition to aspirin, and maintained over 12 months unless there are contraindications or an excessive risk of bleeding.170,171,182 Options are:",I,A,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
" Prasugrel in P2Y12 receptor inhibitor-naı¨ve patients proceeding to PCI (60 mg LD, 10 mg/d as standard dose, 5 mg/d for patients aged >_75 years or with a body weight <60 kg).",I,B,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
" Ticagrelor irrespective of the planned treatment strategy (invasive or conservative) (180 mg LD, 90 mg b.i.d.).",I,B,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
" Clopidogrel (300600 mg LD, 75 mg daily dose), only when prasugrel or ticagrelor are not available, cannot be tolerated, or are contraindicated.",I,C,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
Prasugrel should be considered in preference to ticagrelor for NSTE-ACS patients who proceed to PCI.,IIa,B,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
GP IIb/IIIa antagonists should be considered for bail-out if there is evidence of no-reﬂow or a thrombotic complication.,IIa,C,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
Cangrelor may be considered in P2Y12 receptor inhibitor-naı¨ve patients undergoing PCI.184,IIb,A,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
Pre-treatment with a P2Y12 receptor inhibitor may be considered in patients with NSTE-ACS who are not planned to undergo an early invasive strategy and do not have an HBR.,IIb,C,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
Treatment with GP IIb/IIIa antagonists in patients in whom coronary anatomy is not known is not recommended.,III,A,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
It is not recommended to administer routine pre-treatment with a P2Y12 receptor inhibitor in patients in whom coronary anatomy is not known and an early invasive management is planned.,III,A,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
"Peri-interventional anticoagulant treatment Parenteral anticoagulation is recommended for all patients, in addition to antiplatelet treatment, at the time of diagnosis and, especially, during revascularization procedures according to both ischaemic and bleeding risks.",I,A,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
"UFH (weight-adjusted i.v. bolus during PCI of 70100 IU/kg, or 5070 IU/kg in combination with a GP IIb/IIIa inhibitor; activated clotting time target range of 250350 s, or 200250 s if a GP IIb/IIIa inhibitor is given) is recommended in patients undergoing PCI.",I,A,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
"In cases of medical treatment or logistical constraints for transferring the patient to PCI within the required time frame, fondaparinux is recommended and, in such cases, a single bolus of UFH is recommended at the time of PCI.",I,B,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
"It is recommended to select anticoagulation according to both ischaemic and bleeding risks, and according to the efﬁcacysafety proﬁle of the chosen agent.",I,C,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
Enoxaparin (i.v.) should be considered in patients pre-treated with subcutaneous enoxaparin.194,IIa,B,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
Discontinuation of parenteral anticoagulation should be considered immediately after an invasive procedure.,IIa,C,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
Bivalirudin may be considered as an alternative to UFH.,IIb,A,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
Crossover of UFH and LMWH is not recommended.,III,B,2,antithrombotic treatment in non-ST-segment elevation acute coronary syndrome patients without atrial ﬁbrillation undergoing percutaneous coronary intervention,ACS NSTE,2020,26
"In patients with NSTE-ACS treated with coronary stent implantation, DAPT with a P2Y12 receptor inhibitor on top of aspirin is recommended for 12 months unless there are contraindications such as excessive risk of bleeding.",I,A,3,post-interventional and maintenance treatment in patients with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,29
Prolonging antithrombotic treatment duration Adding a second antithrombotic agent to aspirin for extended long-term secondary prevention should be considered in patients with a high risk of ischaemic events and without increased risk of major or life-threatening bleeding (see Tables 9 and 11 for options).,IIa,A,3,post-interventional and maintenance treatment in patients with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,29
Adding a second antithrombotic agent to aspirin for extended long-term secondary prevention may be considered in patients with moderately increased risk of ischaemic events and without increased risk of major or life-threatening bleeding (see Tables 9 and 11 for options).,IIb,A,3,post-interventional and maintenance treatment in patients with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,29
"In ACS patients with no prior stroke/transient ischaemic attack who are at high ischaemic risk and low bleeding risk and are receiving aspirin and clopidogrel, low-dose rivaroxaban (2.5 mg b.i.d. for approximately 1 year) may be considered after discontinuation of parenteral anticoagulation.",IIb,B,3,post-interventional and maintenance treatment in patients with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,29
"Shortening antithrombotic treatment duration After stent implantation with high risk of bleeding (e.g. PRECISE-DAPT >_25 or ARC-HBR criteria met), discontinuation of P2Y12 receptor inhibitor therapy after 3 months should be considered.",IIa,B,3,post-interventional and maintenance treatment in patients with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,29
"After stent implantation in patients undergoing a strategy of DAPT, stopping aspirin after 36 months should be considered, depending on the balance between the ischaemic and bleeding risk.",IIa,A,3,post-interventional and maintenance treatment in patients with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,29
"De-escalation of P2Y12 receptor inhibitor treatment (e.g. with a switch from prasugrel or ticagrelor to clopidogrel) may be considered as an alternative DAPT strategy, especially for ACS patients deemed unsuitable for potent platelet inhibition. De-escalation may be done unguided based on clinical judgment or guided by platelet function testing or CYP2C19 genotyping, depending on patient’s risk proﬁle and availability of respective assays.",IIb,A,3,post-interventional and maintenance treatment in patients with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,29
Sublingual or i.v. nitrates and early initiation of beta-blocker treatment are recommended in patients with ongoing ischaemic symptoms and without contraindications.,I,C,4,anti-ischaemic drugs in the acute phase of non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,30
It is recommended to continue chronic betablocker therapy unless the patient is in overt heart failure.,I,C,4,anti-ischaemic drugs in the acute phase of non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,30
i.v. nitrates are recommended in patients with uncontrolled hypertension or signs of heart failure.,I,C,4,anti-ischaemic drugs in the acute phase of non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,30
"In patients with suspected/conﬁrmed vasospastic angina, calcium channel blockers and nitrates should be considered and beta-blockers avoided.",IIa,B,4,anti-ischaemic drugs in the acute phase of non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,30
"Stroke prevention is recommended to AF patients with >_1 non-sex CHA2DS2-VASc stroke risk factors (score of >_1 in males or >_2 in females).For patients with >_2 non-sex stroke risk factors, OAC is recommended.255",I,A,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"For patients with 1 non-sex stroke risk factor, OAC should be considered and treatment may be individualized based on net clinical beneﬁt and consideration of patient values and preferences.260",IIa,B,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"An early ICA should be considered in HBR patients, irrespective of OAC exposure, to expedite treatment allocation (medical vs. PCI vs. CABG) and to determine the optimal antithrombotic regimen.",IIa,C,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"Patients undergoing coronary stenting Anticoagulation During PCI, additional parenteral anticoagulation is recommended, irrespective of the timing of the last dose of all NOACs and if INR is <2.5 in VKA-treated patients.",I,C,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"In patients with an indication for OAC with VKA in combination with aspirin and/or clopidogrel, the dose intensity of VKA should be carefully regulated with a target INR of 2.02.5 and a time in the therapeutic range >70%.236,238",IIa,B,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
Uninterrupted therapeutic anticoagulation with VKA or NOACs should be considered during the periprocedural phase.,IIa,C,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"Antiplatelet treatment In patients with AF and CHA2DS2-VASc score >_1 in men and >_2 in women, after a short period of TAT (up to 1 week from the acute event), DAT is recommended as the default strategy using a NOAC at the recommended dose for stroke prevention and a single oral antiplatelet agent (preferably clopidogrel).238",I,A,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
Periprocedural DAPT administration consisting of aspirin and clopidogrel up to 1 week is recommended.238,I,A,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
Discontinuation of antiplatelet treatment in patients treated with an OAC is recommended after 12 months.236,I,B,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"In patients treated with a VKA (e.g. mechanical prosthetic valves), clopidogrel alone should be considered in selected patients (HAS-BLED >_3 or ARC-HBR met and low risk of stent thrombosis) for up to 12 months.",IIa,B,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"When rivaroxaban is used and concerns about HBR prevail over stent thrombosis or ischaemic stroke, rivaroxaban 15 mg o.d. should be considered in preference to rivaroxaban 20 mg o.d. for the duration of concomitant SAPT or DAPT.",IIa,B,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"In patients at HBR (HAS-BLED >_3), dabigatran 110 mg b.i.d. should be considered in preference to dabigatran 150 mg b.i.d. for the duration of concomitant SAPT or DAPT to mitigate bleeding risk.",IIa,B,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"In patients treated with an OAC, aspirin plus clopidogrel for longer than 1 week and up to 1 month should be considered in those with high ischaemic risk or other anatomical/procedural characteristics which outweigh the bleeding risk (Table 11).",IIa,C,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"DAT (with an OAC and either ticagrelor or prasugrel) may be considered as an alternative to TAT (with an OAC, aspirin, and clopidogrel) in patients with a moderate or high risk of stent thrombosis, irrespective of the type of stent used.",IIb,C,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
The use of ticagrelor or prasugrel as part of TAT is not recommended.,III,C,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
Medically managed patients One antiplatelet agent in addition to an OAC should be considered for up to 1 year.,IIa,C,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"In patients with AF, apixaban 5 mg b.i.d. and SAPT (clopidogrel) for at least 6 months may be considered.",IIb,B,5,combining antiplatelet agents and anticoagulants in non-ST-segment elevation acute coronary syndrome patients requiring chronic oral anticoagulation,ACS NSTE,2020,33
"In patients with dabigatran-associated ongoing life-threatening bleeding, the administration of the speciﬁc antidote for dabigatran  idarucizumab  should be considered.",IIa,B,6,bleeding management and blood transfusion in non-ST-segment elevation acute coronary syndromes for anticoagulated patients,ACS NSTE,2020,34
"In patients with VKA-associated life-threatening bleeding events, rapid reversal of anticoagulation with four-factor prothrombin complex concentrate rather than with fresh frozen plasma or recombinant activated factor VII should be considered. In addition, repetitive 10 mg i.v. doses of vitamin K should be administered by slow injection.",IIa,C,6,bleeding management and blood transfusion in non-ST-segment elevation acute coronary syndromes for anticoagulated patients,ACS NSTE,2020,34
"In patients with NOAC-associated ongoing life-threatening bleeding, the administration of prothrombin complex concentrates or activated prothrombin complex concentrates should be considered when the speciﬁc antidote is unavailable.",IIa,C,6,bleeding management and blood transfusion in non-ST-segment elevation acute coronary syndromes for anticoagulated patients,ACS NSTE,2020,34
"In patients with rivaroxaban-, apixaban-, or edoxaban-associated ongoing life-threatening bleeding, the administration of the speciﬁc antidote  andexanet-alpha  may be considered.",IIb,B,6,bleeding management and blood transfusion in non-ST-segment elevation acute coronary syndromes for anticoagulated patients,ACS NSTE,2020,34
"In patients with anaemia and no evidence of active bleeding, blood transfusion may be considered in case of compromised haemodynamic status, haematocrit <25%, or haemoglobin level <8 g/dL.",IIb,C,6,bleeding management and blood transfusion in non-ST-segment elevation acute coronary syndromes for anticoagulated patients,ACS NSTE,2020,34
Timing of invasive strategy An immediate invasive strategy (<2 h) is recommended in patients with at least one of the following very high-risk criteria: • Haemodynamic instability or CS. • Recurrent or refractory chest pain despite medical treatment. • Life-threatening arrhythmias. • Mechanical complications of MI. • Heart failure clearly related to NSTE-ACS. • Presence of ST-segment depression >1 mm in >_6 leads additional to ST-segment elevation in aVR and/or V1.,I,C,7,coronary revascularization,ACS NSTE,2020,40
"An early invasive strategy within 24 h is recommended in patients with any of the following highrisk criteria: • Diagnosis of NSTEMI suggested by the diagnostic algorithm recommended in section 3. • Dynamic or presumably new contiguous ST/T-segment changes suggesting ongoing ischaemia. • Transient ST-segment elevation.273,362 • GRACE risk score >140.",I,A,7,coronary revascularization,ACS NSTE,2020,40
A selective invasive strategy after appropriate ischaemia testing or detection of obstructive CAD by CCTA is recommended in patients considered at low risk.,I,A,7,coronary revascularization,ACS NSTE,2020,40
Delayed as opposed to immediate angiography should be considered among haemodynamically stable patients without ST-segment elevation successfully resuscitated after out-of-hospital cardiac arrest.,IIa,B,7,coronary revascularization,ACS NSTE,2020,40
DES are recommended over bare-metal stents for any PCI irrespective of: • Clinical presentation. • Lesion type. • Planned non-cardiac surgery. • Anticipated duration of DAPT. • Concomitant anticoagulant therapy.,I,A,7,coronary revascularization,ACS NSTE,2020,41
"It is recommended to base the revascularization strategy (ad hoc culprit lesion PCI/multivessel PCI/ CABG) on the patient’s clinical status and comorbidities, as well as their disease severity [i.e. the distribution and angiographic lesion characteristics (e.g. SYNTAX score)], according to the principles for stable CAD.350 However, the decision on immediate PCI of the culprit stenosis does not require Heart Team consultation.",I,B,7,coronary revascularization,ACS NSTE,2020,41
Complete revascularization should be considered in NSTE-ACS patients without CS and with multivessel CAD.,IIa,C,7,coronary revascularization,ACS NSTE,2020,41
Intracoronary imaging should be considered to diagnose SCAD if suspected.,IIa,C,7,coronary revascularization,ACS NSTE,2020,41
Complete revascularization during index PCI may be considered in NSTE-ACS patients with multivessel disease.,IIb,B,7,coronary revascularization,ACS NSTE,2020,41
FFR-guided revascularization of a non-culprit NSTE-ACS lesion may be used during index PCI.,IIb,B,7,coronary revascularization,ACS NSTE,2020,41
"In all patients with an initial working diagnosis of MINOCA, it is recommended to follow a diagnostic algorithm to differentiate true MINOCA from alternative diagnoses.",I,C,8,myocardial infarction with non-obstructive coronary arteries,ACS NSTE,2020,43
It is recommended to perform CMR in all MINOCA patients without an obvious underlying cause.,I,B,8,myocardial infarction with non-obstructive coronary arteries,ACS NSTE,2020,43
It is recommended to manage patients with an initial diagnosis of MINOCA and a ﬁnal established underlying cause according to the disease-speciﬁc guidelines.,I,C,8,myocardial infarction with non-obstructive coronary arteries,ACS NSTE,2020,43
Patients with a ﬁnal diagnosis of MINOCA of unknown cause may be treated according to secondary prevention guidelines for atherosclerotic disease.,IIb,C,8,myocardial infarction with non-obstructive coronary arteries,ACS NSTE,2020,43
Emergency coronary angiography is recommended in patients with CS complicating ACS.,I,B,9,non-ST-segment elevation acute coronary syndrome patients with heart failure or cardiogenic shock,ACS NSTE,2020,44
"Emergency PCI of the culprit lesion is recommended for patients with CS due to NSTE-ACS, independent of the time delay from symptom onset, if the coronary anatomy is amenable to PCI.",I,B,9,non-ST-segment elevation acute coronary syndrome patients with heart failure or cardiogenic shock,ACS NSTE,2020,44
Emergency CABG is recommended for patients with CS if the coronary anatomy is not amenable to PCI.,I,B,9,non-ST-segment elevation acute coronary syndrome patients with heart failure or cardiogenic shock,ACS NSTE,2020,44
It is recommended to perform emergency echocardiography without delay to assess LV and valvular function and exclude mechanical complications.,I,C,9,non-ST-segment elevation acute coronary syndrome patients with heart failure or cardiogenic shock,ACS NSTE,2020,44
"In cases of haemodynamic instability, emergency surgical or catheter-based repair of mechanical complications of ACS is recommended, as decided by the Heart Team.",I,C,9,non-ST-segment elevation acute coronary syndrome patients with heart failure or cardiogenic shock,ACS NSTE,2020,44
"For NSTE-ACS-related mechanical complications, the use of IABP should be considered.",IIa,C,9,non-ST-segment elevation acute coronary syndrome patients with heart failure or cardiogenic shock,ACS NSTE,2020,44
"In selected patients with ACS and CS, short-term mechanical circulatory support may be considered, depending on patient age, comorbidities, neurological function, and the prospects for longterm survival and predicted quality of life.",IIb,C,9,non-ST-segment elevation acute coronary syndrome patients with heart failure or cardiogenic shock,ACS NSTE,2020,44
Routine use of IABP in patients with CS and no mechanical complications due to ACS is not recommended.,III,B,9,non-ST-segment elevation acute coronary syndrome patients with heart failure or cardiogenic shock,ACS NSTE,2020,44
Routine immediate revascularization of non-culprit lesions in NSTE-ACS patients with multivessel disease presenting with CS is not recommended.,III,B,9,non-ST-segment elevation acute coronary syndrome patients with heart failure or cardiogenic shock,ACS NSTE,2020,44
It is recommended to screen all patients with NSTE-ACS for diabetes and to monitor blood glucose levels frequently in patients with known diabetes or admission hyperglycaemia.,I,C,10,diabetes mellitus in non-ST-segment elevation acute coronary syndrome patients,ACS NSTE,2020,45
Avoidance of hypoglycaemia is recommended.424,I,B,10,diabetes mellitus in non-ST-segment elevation acute coronary syndrome patients,ACS NSTE,2020,45
"Glucose-lowering therapy should be considered in ACS patients with blood glucose >10 mmol/L (>180 mg/dL), with the target adapted to comorbidities, while episodes of hypoglycaemia should be avoided.422,428",IIa,B,10,diabetes mellitus in non-ST-segment elevation acute coronary syndrome patients,ACS NSTE,2020,45
"A multifactorial approach to diabetes mellitus management, with treatment targets, should be considered in patients with diabetes and CVD.431",IIa,B,10,diabetes mellitus in non-ST-segment elevation acute coronary syndrome patients,ACS NSTE,2020,45
"Less stringent glucose control should be considered, both in the acute phase and at follow-up, in patients with more advanced CVD, older age, longer diabetes duration, and more comorbidities.",IIa,C,10,diabetes mellitus in non-ST-segment elevation acute coronary syndrome patients,ACS NSTE,2020,45
Risk stratiﬁcation in CKD It is recommended to apply the same diagnostic and therapeutic strategies in patients with CKD (dose adjustment may be necessary) as for patients with normal renal function.,I,C,11,patients with chronic kidney disease and non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,45
It is recommended to assess kidney function by eGFR in all patients.,I,C,11,patients with chronic kidney disease and non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,45
Myocardial revascularization in patients with CKD Use of low- or iso-osmolar contrast media (at lowest possible volume) are recommended in invasive strategies.,I,A,11,patients with chronic kidney disease and non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,45
Pre- and post-hydration with isotonic saline should be considered if the expected contrast volume is >100 mL in invasive strategies.,IIa,C,11,patients with chronic kidney disease and non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,45
"As an alternative to the pre- and post-hydration regimen, tailored hydration regimens may be considered.",IIb,B,11,patients with chronic kidney disease and non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,45
CABG should be considered over PCI in patients with multivessel CAD whose surgical risk proﬁle is acceptable and life expectancy is >1 year.,IIa,B,11,patients with chronic kidney disease and non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,45
It is recommended to apply the same diagnostic strategies in older patients as for younger patients.,I,B,12,older persons with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,46
It is recommended to apply the same interventional strategies in older patients as for younger patients.,I,B,12,older persons with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,46
"The choice of antithrombotic agent and dosage, as well as secondary preventions, should be adapted to renal function, as well as speciﬁc contraindications.",I,B,12,older persons with non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,46
Improvement of lifestyle factors in addition to appropriate pharmacological management is recommended in order to reduce allcause and cardiovascular mortality and morbidity and improve health-related quality of life.487,I,A,13,lifestyle managements after non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,47
Cognitive behavioural interventions are recommended to help individuals achieve a healthy lifestyle.498,I,A,13,lifestyle managements after non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,47
"Multidisciplinary exercise-based cardiac rehabilitation is recommended as an effective means for patients with CAD to achieve a healthy lifestyle and manage risk factors in order to reduce all-cause and cardiovascular mortality and morbidity, and improve healthrelated quality of life.",I,A,13,lifestyle managements after non-ST-segment elevation acute coronary syndrome,ACS NSTE,2020,47
